src,dst,type
Agent:Red,Event:R:0,PERFORMS
Event:R:0,ATTACK:T1018,USES_TECHNIQUE
Event:R:0,Subnet:10.0.43.96/28,TARGETS
Agent:Blue,Event:B:0,PERFORMS
Event:B:0,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:1,PERFORMS
Event:R:1,ATTACK:T1046,USES_TECHNIQUE
Event:R:1,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:1,PERFORMS
Event:B:1,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:2,PERFORMS
Event:R:2,ATTACK:T1046,USES_TECHNIQUE
Event:R:2,Host:10.0.43.107,TARGETS
Agent:Blue,Event:B:2,PERFORMS
Event:B:2,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:3,PERFORMS
Event:R:3,ATTACK:T1046,USES_TECHNIQUE
Event:R:3,Host:10.0.43.101,TARGETS
Agent:Blue,Event:B:3,PERFORMS
Event:B:3,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:4,PERFORMS
Event:R:4,ATTACK:T1046,USES_TECHNIQUE
Event:R:4,Host:10.0.43.100,TARGETS
Agent:Blue,Event:B:4,PERFORMS
Event:B:4,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:5,PERFORMS
Event:R:5,ATTACK:T1046,USES_TECHNIQUE
Event:R:5,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:5,PERFORMS
Event:B:5,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:6,PERFORMS
Event:R:6,ATTACK:T1068,USES_TECHNIQUE
Event:R:6,User:User0,TARGETS
Agent:Blue,Event:B:6,PERFORMS
Event:B:6,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:7,PERFORMS
Event:R:7,ATTACK:T1210,USES_TECHNIQUE
Event:R:7,Host:10.0.43.97,TARGETS
Agent:Blue,Event:B:7,PERFORMS
Event:B:7,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:8,PERFORMS
Event:R:8,ATTACK:T1068,USES_TECHNIQUE
Event:R:8,User:User1,TARGETS
Agent:Blue,Event:B:8,PERFORMS
Event:B:8,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:8,User:User1,TARGETS
Agent:Red,Event:R:9,PERFORMS
Event:R:9,ATTACK:T1210,USES_TECHNIQUE
Event:R:9,Host:10.0.43.107,TARGETS
Agent:Blue,Event:B:9,PERFORMS
Event:B:9,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:10,PERFORMS
Event:R:10,ATTACK:T1210,USES_TECHNIQUE
Event:R:10,Host:10.0.43.101,TARGETS
Agent:Blue,Event:B:10,PERFORMS
Event:B:10,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:11,PERFORMS
Event:R:11,ATTACK:T1068,USES_TECHNIQUE
Event:R:11,User:User2,TARGETS
