log,variant,reward_red,reward_blue,rule_score
cc2_remove_bline.jsonl,baseline,0.0,0.0,30.014346754023673
cc2_remove_bline.jsonl,delete[last]_PrivilegeEscalate+ExploitRemoteService,0.0,0.0,28.783144140769963
cc2_remove_bline.jsonl,swap[random_cross],0.0,0.0,29.767245380838524
cc2_remove_bline.jsonl,"time_shift(PrivilegeEscalate:-2,ExploitRemoteService:+1)",0.0,0.0,29.554346754023673
cc2_remove_bline.jsonl,sufficiency_related_only,0.0,0.0,35.12073211920557
cc2_remove_meander.jsonl,baseline,0.0,0.0,33.712984287462845
cc2_remove_meander.jsonl,delete[last]_PrivilegeEscalate+ExploitRemoteService,0.0,0.0,33.349363317855364
cc2_remove_meander.jsonl,swap[random_cross],0.0,0.0,33.712741538017816
cc2_remove_meander.jsonl,"time_shift(PrivilegeEscalate:-2,ExploitRemoteService:+1)",0.0,0.0,33.612984287462844
cc2_remove_meander.jsonl,sufficiency_related_only,0.0,0.0,35.63873924073188
cc2_restore_bline.jsonl,baseline,0.0,0.0,34.736842103833325
cc2_restore_bline.jsonl,delete[last]_PrivilegeEscalate+ExploitRemoteService,0.0,0.0,34.73684210349794
cc2_restore_bline.jsonl,swap[random_cross],0.0,0.0,34.7368421038333
cc2_restore_bline.jsonl,"time_shift(PrivilegeEscalate:-2,ExploitRemoteService:+1)",0.0,0.0,34.64684210383333
cc2_restore_bline.jsonl,sufficiency_related_only,0.0,0.0,34.7368421050038
cc2_restore_meander.jsonl,baseline,0.0,0.0,37.126653275390424
cc2_restore_meander.jsonl,delete[last]_PrivilegeEscalate+ExploitRemoteService,0.0,0.0,37.56376947579064
cc2_restore_meander.jsonl,swap[random_cross],0.0,0.0,37.12665327539027
cc2_restore_meander.jsonl,"time_shift(PrivilegeEscalate:-2,ExploitRemoteService:+1)",0.0,0.0,37.02665327539042
cc2_restore_meander.jsonl,sufficiency_related_only,0.0,0.0,37.12665327577004
