mode,type,delta,had_type,file
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,3.9999999999999982,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999986,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MSE,ExploitRemoteService,0.0,0,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MCE,ExploitRemoteService,0.0,0,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,3.9999999999999982,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MSE,ExploitRemoteService,0.0,0,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MCE,ExploitRemoteService,0.0,0,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_remove_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MSE,ExploitRemoteService,0.0,0,cc2_remove_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MCE,PrivilegeEscalate,4.0,1,cc2_remove_meander
MCE,ExploitRemoteService,0.0,0,cc2_remove_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_remove_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_remove_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_remove_meander
